0.023589	-1392.998980
0.181303	-809.004679
0.275034	-382.007739
0.291036	-190.262412
0.392428	-434.305954
0.488675	-488.261032
0.632782	-885.230530
0.809654	-578.021443
1.006696	-431.209472
1.020493	-418.083778
1.174806	-78.205959
1.289381	114.599276
1.364704	722.980583
1.510170	563.798784
1.634410	522.049981
1.652147	568.616267
1.814097	433.051154
1.949097	191.669268
1.951388	-222.390971
1.994930	-678.016997
2.147093	-1476.832100
2.155506	-1320.524914
2.329038	-835.210412
2.414162	-1338.528823
2.488463	-1686.213058
2.578144	-1549.896775
2.746929	-1439.457101
2.858282	-967.015303
2.883399	-715.707806
3.019799	-1262.774369
3.042028	-1332.588332
3.072296	-996.643700
3.115867	-843.707266
3.154450	-713.836912
3.317636	-862.642296
3.503870	-869.774668
3.565225	-695.395563
3.724816	7.986672
3.865294	10.294311
3.891425	32.789213
3.916492	631.470147
4.077945	845.094705
4.237718	803.973683
4.395949	212.531099
4.541752	285.098882
4.666568	-182.774118
4.703777	-488.341587
4.724669	-523.343667
4.739559	-972.285964
4.842254	-1336.474357
4.843368	-1403.355631
4.959344	-713.037976
5.002885	-1093.728491
5.143058	-1311.785523
5.229742	-771.154525
5.277447	-821.211759
5.469504	-533.774027
5.514492	-346.089511
5.521975	365.284419
5.575871	-205.708116
5.744110	389.671113
5.828789	723.355344
5.861195	464.048713
5.987155	683.612493
5.993087	865.423959
6.094242	685.481788
6.175847	231.287332
6.346316	-16.397394
6.500907	-617.960643
6.522028	-401.341062
6.690304	-459.024961
6.855995	-814.782130
7.021335	-1234.472333
7.189116	-1041.784923
7.359170	-1226.780041
7.460885	-752.532408
7.509497	-760.095206
7.652225	-510.908590
7.808653	-314.473689
7.850478	1.710299
8.048088	49.459319
8.112817	525.961030
8.286385	694.468247
8.384607	1023.594361
8.424703	1154.720214
8.619558	663.527120
8.662441	398.282773
8.795375	457.475675
8.920632	592.537851
9.116351	-62.093619
9.117699	171.275839
9.161447	-126.535608
9.181977	-473.406335
9.334945	-251.350920
9.368764	-282.784192
9.426516	-513.468585
9.460132	-487.469103
9.615450	-195.337815
9.656413	-535.272478
9.709504	-245.277988
9.804235	490.595539
9.827885	438.661186
9.830037	942.966283
10.022092	957.966747
10.096950	643.781757
10.172326	274.098239
10.279972	715.290674
10.405901	133.221989
10.516610	-32.970126
10.578577	392.712714
10.615017	3.843086
10.687792	-107.024591
10.885646	343.782954
10.948189	199.408620
11.063508	-265.533654
11.094733	-101.222709
11.204569	-175.103743
11.300764	-439.856652
11.301416	-893.102030
11.384034	-845.719691
11.523005	-1003.034207
11.608674	-566.783063
11.707040	-547.848684
11.836976	40.969933
12.001161	517.156657
12.027997	663.162292
12.217358	1050.850193
12.403100	785.982194
12.513039	522.988494
12.532243	520.180425
12.667829	495.737582
12.818088	276.169606
12.847338	-671.451984
12.859080	-1263.326512
13.050993	-1144.446523
13.053160	-892.327754
13.097665	-679.080724
13.123786	-720.201362
13.208115	-546.694991
